# x[mm]	L[um]	t[s]	stress[Pa]
8.152727905820043031e-01	7.389056098930649341e+02	6.024096385542165519e-03	-0.000000000000000000e+00
8.356546103465543052e-01	7.389056098930649341e+02	6.174698795180719180e-03	-0.000000000000000000e+00
8.560364301111044183e-01	7.389056098930649341e+02	6.325301204819272841e-03	-0.000000000000000000e+00
8.764182498756545314e-01	7.389056098930649341e+02	6.475903614457827369e-03	-0.000000000000000000e+00
8.968000696402046445e-01	7.389056098930649341e+02	6.626506024096381030e-03	-0.000000000000000000e+00
9.171818894047547577e-01	7.389056098930649341e+02	6.777108433734936425e-03	-0.000000000000000000e+00
9.375637091693048708e-01	7.389056098930649341e+02	6.927710843373490086e-03	-0.000000000000000000e+00
9.579455289338549839e-01	7.389056098930649341e+02	7.078313253012044615e-03	6.507022081597635220e-16
9.783273486984049860e-01	7.389056098930649341e+02	7.228915662650596541e-03	-6.507022081597635220e-16
9.987091684629550992e-01	7.389056098930649341e+02	7.379518072289151936e-03	-0.000000000000000000e+00
1.019090988227505212e+00	7.389056098930649341e+02	7.530120481927706465e-03	-0.000000000000000000e+00
1.039472807992055436e+00	7.389056098930649341e+02	7.680722891566260993e-03	6.507022081597635220e-16
1.059854627756605439e+00	7.389056098930649341e+02	7.831325301204812919e-03	-6.507022081597635220e-16
1.080236447521155663e+00	7.389056098930649341e+02	7.981927710843368315e-03	-0.000000000000000000e+00
1.100618267285705665e+00	7.389056098930649341e+02	8.132530120481921976e-03	-0.000000000000000000e+00
1.121000087050255889e+00	7.389056098930649341e+02	8.283132530120477371e-03	6.507022081597635220e-16
1.141381906814805891e+00	7.389056098930649341e+02	8.433734939759029298e-03	-6.507022081597635220e-16
1.161763726579356115e+00	7.389056098930649341e+02	8.584337349397584693e-03	-0.000000000000000000e+00
1.182145546343906117e+00	7.389056098930649341e+02	8.734939759036140089e-03	6.507022081597635220e-16
1.202527366108456119e+00	7.389056098930649341e+02	8.885542168674692015e-03	-6.507022081597635220e-16
1.222909185873006344e+00	7.389056098930649341e+02	9.036144578313247411e-03	-0.000000000000000000e+00
1.243291005637556568e+00	7.389056098930649341e+02	9.186746987951801072e-03	-0.000000000000000000e+00
1.263672825402106570e+00	7.389056098930649341e+02	9.337349397590356467e-03	6.507022081597635220e-16
1.284054645166656572e+00	7.389056098930649341e+02	9.487951807228908394e-03	-6.507022081597635220e-16
1.304436464931206796e+00	7.389056098930649341e+02	9.638554216867463789e-03	-0.000000000000000000e+00
1.324818284695757020e+00	7.389056098930649341e+02	9.789156626506017450e-03	6.507022081597635220e-16
1.345200104460306800e+00	7.389056098930649341e+02	9.939759036144571111e-03	-6.507022081597635220e-16
1.365581924224857024e+00	7.389056098930649341e+02	1.009036144578312477e-02	-0.000000000000000000e+00
1.385963743989407249e+00	7.389056098930649341e+02	1.024096385542168017e-02	-0.000000000000000000e+00
1.406345563753957473e+00	7.389056098930649341e+02	1.039156626506023556e-02	6.507022081597635220e-16
